,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,400.0
Fault-1,1.0,0.995,0.9974937343358395,400.0
Fault-2,1.0,1.0,1.0,400.0
Fault-3,0.9975062344139651,1.0,0.9987515605493134,400.0
Fault-4,0.9463414634146341,0.97,0.9580246913580247,400.0
Fault-5,0.969309462915601,0.9475,0.9582806573957017,400.0
Fault-6,1.0,1.0,1.0,400.0
accuracy,0.9875,0.9875,0.9875,0.9875
macro avg,0.9875938801063143,0.9874999999999999,0.9875072348055542,2800.0
weighted avg,0.9875938801063143,0.9875,0.9875072348055542,2800.0
